
holiday,ds,lower_window,upper_window,country
New Year's Day,2020-01-01,0,1,US
Martin Luther King Jr. Day,2020-01-20,0,0,US
Presidents' Day,2020-02-17,0,0,US
Memorial Day,2020-05-25,0,0,US
Independence Day,2020-07-04,-1,1,US
Labor Day,2020-09-07,0,0,US
Columbus Day,2020-10-12,0,0,US
Veterans Day,2020-11-11,0,0,US
Thanksgiving,2020-11-26,0,1,US
Christmas Day,2020-12-25,-1,1,US
New Year's Day,2021-01-01,0,1,US
Martin Luther King Jr. Day,2021-01-18,0,0,US
Presidents' Day,2021-02-15,0,0,US
Memorial Day,2021-05-31,0,0,US
Independence Day,2021-07-04,-1,1,US
Labor Day,2021-09-06,0,0,US
Columbus Day,2021-10-11,0,0,US
Veterans Day,2021-11-11,0,0,US
Thanksgiving,2021-11-25,0,1,US
Christmas Day,2021-12-25,-1,1,US
New Year's Day,2022-01-01,0,1,US
Martin Luther King Jr. Day,2022-01-17,0,0,US
Presidents' Day,2022-02-21,0,0,US
Memorial Day,2022-05-30,0,0,US
Independence Day,2022-07-04,-1,1,US
Labor Day,2022-09-05,0,0,US
Columbus Day,2022-10-10,0,0,US
Veterans Day,2022-11-11,0,0,US
Thanksgiving,2022-11-24,0,1,US
Christmas Day,2022-12-25,-1,1,US
New Year's Day,2023-01-01,0,1,US
Martin Luther King Jr. Day,2023-01-16,0,0,US
Presidents' Day,2023-02-20,0,0,US
Memorial Day,2023-05-29,0,0,US
Independence Day,2023-07-04,-1,1,US
Labor Day,2023-09-04,0,0,US
Columbus Day,2023-10-09,0,0,US
Veterans Day,2023-11-11,0,0,US
Thanksgiving,2023-11-23,0,1,US
Christmas Day,2023-12-25,-1,1,US
New Year's Day,2024-01-01,0,1,US
Martin Luther King Jr. Day,2024-01-15,0,0,US
Presidents' Day,2024-02-19,0,0,US
Memorial Day,2024-05-27,0,0,US
Independence Day,2024-07-04,-1,1,US
Labor Day,2024-09-02,0,0,US
Columbus Day,2024-10-14,0,0,US
Veterans Day,2024-11-11,0,0,US
Thanksgiving,2024-11-28,0,1,US
Christmas Day,2024-12-25,-1,1,US
New Year's Day,2025-01-01,0,1,US
Martin Luther King Jr. Day,2025-01-20,0,0,US
Presidents' Day,2025-02-17,0,0,US
Memorial Day,2025-05-26,0,0,US
Independence Day,2025-07-04,-1,1,US
Labor Day,2025-09-01,0,0,US
Columbus Day,2025-10-13,0,0,US
Veterans Day,2025-11-11,0,0,US
Thanksgiving,2025-11-27,0,1,US
Christmas Day,2025-12-25,-1,1,US
New Year's Day,2020-01-01,0,1,UK
Good Friday,2020-04-10,0,0,UK
Easter Monday,2020-04-13,0,0,UK
Early May Bank Holiday,2020-05-08,0,0,UK
Spring Bank Holiday,2020-05-25,0,0,UK
Summer Bank Holiday,2020-08-31,0,0,UK
Christmas Day,2020-12-25,0,1,UK
Boxing Day,2020-12-26,0,0,UK
New Year's Day,2021-01-01,0,1,UK
Good Friday,2021-04-02,0,0,UK
Easter Monday,2021-04-05,0,0,UK
Early May Bank Holiday,2021-05-03,0,0,UK
Spring Bank Holiday,2021-05-31,0,0,UK
Summer Bank Holiday,2021-08-30,0,0,UK
Christmas Day,2021-12-25,0,1,UK
Boxing Day,2021-12-26,0,0,UK
New Year's Day,2022-01-01,0,1,UK
Good Friday,2022-04-15,0,0,UK
Easter Monday,2022-04-18,0,0,UK
Early May Bank Holiday,2022-05-02,0,0,UK
Spring Bank Holiday,2022-06-02,0,0,UK
Summer Bank Holiday,2022-08-29,0,0,UK
Christmas Day,2022-12-25,0,1,UK
Boxing Day,2022-12-26,0,0,UK
New Year's Day,2023-01-01,0,1,UK
Good Friday,2023-04-07,0,0,UK
Easter Monday,2023-04-10,0,0,UK
Early May Bank Holiday,2023-05-01,0,0,UK
Spring Bank Holiday,2023-05-29,0,0,UK
Summer Bank Holiday,2023-08-28,0,0,UK
Christmas Day,2023-12-25,0,1,UK
Boxing Day,2023-12-26,0,0,UK
New Year's Day,2024-01-01,0,1,UK
Good Friday,2024-03-29,0,0,UK
Easter Monday,2024-04-01,0,0,UK
Early May Bank Holiday,2024-05-06,0,0,UK
Spring Bank Holiday,2024-05-27,0,0,UK
Summer Bank Holiday,2024-08-26,0,0,UK
Christmas Day,2024-12-25,0,1,UK
Boxing Day,2024-12-26,0,0,UK
New Year's Day,2025-01-01,0,1,UK
Good Friday,2025-04-18,0,0,UK
Easter Monday,2025-04-21,0,0,UK
Early May Bank Holiday,2025-05-05,0,0,UK
Spring Bank Holiday,2025-05-26,0,0,UK
Summer Bank Holiday,2025-08-25,0,0,UK
Christmas Day,2025-12-25,0,1,UK
Boxing Day,2025-12-26,0,0,UK
